Юр. лицо,ФИО,Адресс,Регион,ОГРН ,ИНН,Основной вид деятельности
"ООО ""ТОПЛИВНАЯ КОМПАНИЯ""",НИКОЛАЕНКО ПАВЕЛ АЛЕКСАНДРОВИЧ,"693000, Область Сахалинская, г. Южно-Сахалинск, Улица Крайняя, Дом 50",Сахалинская область,1156501007838,6501277935,46.71
"ООО ""ТОПЛИВНЫЙ ИНТЕГРАТОР""",СКАРЖИНСКИЙ ПАВЕЛ ВЛАДИМИРОВИЧ,"199106, г. Санкт-Петербург, Линия 24-Я В.О., Дом 3-7, Литера Б, Помещение 11-Н Офис 208",Санкт-Петербург,1177847251185,7801335040,46.71
"ООО ""ТОПЛИВНЫЕ СИСТЕМЫ""",УШАКОВ ДМИТРИЙ АНДРЕЕВИЧ,"656019, Край Алтайский, г. Барнаул, Улица Юрина, Дом 194а",Алтайский край,1162225077893,2223611977,28.99
"ООО ""ТОПЛИВНЫЙ СОЮЗ""",МОСКВИН АЛЕКСАНДР ДМИТРИЕВИЧ,"650036, Область Кемеровская, г. Кемерово, Улица Терешковой, 39, 3, Офис 405",Кемеровская область,1144205014326,4205294052,46.71
"ООО ""ТОПЛИВНЫЙ АЛЬЯНС""",ТОКАЕВ АЛАН БОРИСОВИЧ,"362020, Республика Северная Осетия - Алания, г. Владикавказ, Улица Елбыздыко Бритаева, Дом 21-23",Республика Северная Осетия,1161513055681,1513061794,46.71
"ООО ""ТОПЛИВНЫЕ РЕШЕНИЯ""",ЛАРИН ЕВГЕНИЙ ЮРЬЕВИЧ,"127474, г. Москва, Улица Селигерская, Дом 18, Корпус 3, Офис 4",Москва,5157746312048,7713409977,46.71
"ООО ""ТОПЛИВНЫЙ ЭЛЕМЕНТ""",ГОЛОВИН ИГОРЬ АЛЕКСАНДРОВИЧ,"634063, Область Томская, г. Томск, Улица Сергея Лазо, Дом 20, Квартира 24",Томская область,1167031057676,7017399700,46.12
"ООО ""ТОПЛИВНЫЕ ПРОДУКТЫ""",КОЛБАСИНА ОЛЬГА ВИКТОРОВНА,"394036, Область Воронежская, г. Воронеж, Улица Сакко И Ванцетти, Дом 69, Офис 48б",Воронежская область,1163668107943,3666212892,46.71
"ООО  ""ТОПЛИВНЫЙ АЛЬЯНС""",ЕГОРОВ АЛЕКСЕЙ ЛЕОНИДОВИЧ,"111024, г. Москва, Улица Энтузиастов 2-Я, Дом 5, Корпус 41, Эт 3 Пом Ix Ком 1",Москва,1147746003756,7720801007,46.71
"ООО ""ТОПЛИВНЫЙ РЕЗЕРВ""",САКАЕВА ЛИЛИЯ ФЛЕРОВНА,"450112, Республика Башкортостан, г. Уфа, Улица Новочеркасская, Дом 7, Кабинет 7",Республика Башкортостан,1150280045310,0277904768,46.71
"ООО ""ТОПЛИВНЫЙ МОДУЛЬ""",ИЩЕНКО ЕФИМ ИГОРЕВИЧ,"624260, Область Свердловская, г. Асбест, Улица Забойщиков, Дом 27/2",Свердловская область,1169658008860,6683010147,46.71
"ООО ""ТОПЛИВНЫЕ СИСТЕМЫ""",ШУЛЬГА ВИТАЛИЙ ВИКТОРОВИЧ,"443101, Область Самарская, г. Самара, Переулок Утевский, Дом 23, Литера Л",Самарская область,1166313065401,6314041418,45.20
"ООО ""ТОПЛИВНЫЙ-РЕГИОН""",АБДУЛАЕВ АБДУЛА ГАДЖИАЛИЕВИЧ,"367002, Республика Дагестан, г. Махачкала, Улица Малыгина, Дом 47",Республика Дагестан,1180571001973,0571012233,46.71
"ООО ""ТОПЛИВНЫЕ ТЕХНОЛОГИИ""",КОРЕЦКИЙ ДМИТРИЙ ГЕННАДЬЕВИЧ,"196105, г. Санкт-Петербург, Улица Кузнецовская, 32, Литер А, Помещение 9-Н",Санкт-Петербург,1129847006618,7810895296,46.71
"ООО ""ТОПЛИВНЫЕ ЭЛЕМЕНТЫ""",БУРМИСТРОВ ПАВЕЛ НИКОЛАЕВИЧ,"123098, г. Москва, Улица Маршала Новикова, Дом 9, Квартира 20",Москва,1107746722786,7734642420,46.71
"ООО ""ТОПЛИВНАЯ КОМПАНИЯ""",ОФИЦЕРОВ ИВАН ВАСИЛЬЕВИЧ,"644119, Область Омская, г. Омск, Улица Крупской, Дом 5, Квартира 123",Омская область,1185543009740,5507261270,46.12
"ШОВГЕНОВСКОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ПО ОБЕСПЕЧЕНИЮ ТОПЛИВОМ НАСЕЛЕНИЯ , УЧРЕЖДЕНИЙ И ОРГАНИЗАЦИЙ",НАГУЗЕ АДАМ АСКЕРОВИЧ,"385440, Республика Адыгея, Район Шовгеновский, Аул Мамхег, Улица Выгонная, 1",Республика Адыгея,1020100508196,0108002243,0
"МУП ""ТОПЛИВНОЕ""",ГАЛУТВО МАКСИМ ИВАНОВИЧ,"676680, Область Амурская, Район Михайловский, Село Поярково, Улица Станционная, 19",Амурская область,1082827000354,2820009766,52.24
"ПО ""ТОПЛИВНЫЙ СОЮЗ""",БАБКИН СЕРГЕЙ ИВАНОВИЧ,"119180, г. Москва, Улица Полянка Б., 7/10, Стр.3, Пом.2",Москва,1137746424298,7706794767,64.99
"ПО ""ТОПЛИВНЫЙ СОЮЗ""",МЕГЛИНСКИЙ ВЕНИАМИН ВЯЧЕСЛАВОВИЧ,"410010, Область Саратовская, г. Саратов, Улица Танкистов, 82",Саратовская область,1116450007112,6452089887,94.99
"ООО ""СИБИРСКАЯ ТОПЛИВНАЯ КОМПАНИЯ""",ГАМАРНИК ВАСИЛИЙ МИХАЙЛОВИЧ,"630099, Область Новосибирская, г. Новосибирск, Улица Ядринцевская, Дом 72, Офис 504, Помещение 9",Новосибирская область,1185476019365,5406987330,46.71
"ООО ""ТОПЛИВНАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""",МИНДИЯРОВ МАРС ВЛАДИМИРОВИЧ,"450069, Республика Башкортостан, г. Уфа, Улица Производственная, Офис 7",Республика Башкортостан,1170280029050,0273913955,46.71
"ООО ""САЯНСКАЯ ТОПЛИВНАЯ КОМПАНИЯ""",НЕДЕЛИН ВЛАДИМИР СЕРГЕЕВИЧ,"655153, Республика Хакасия, г. Черногорск, Улица Фрунзе, Дом 21",Республика Хакасия,1161901055260,1903025865,46.71
"ООО ""АВТОВЕКТОР ТОПЛИВНЫЕ КАРТЫ""",АГАЕВА МАРИЯ АЛЕКСАНДРОВНА,"105066, г. Москва, Улица Красносельская Нижн., Дом 35, Строение 50, Комната 1г",Москва,1167746600570,9701044002,46.71
"ООО ""ЗАПАДНАЯ ТОПЛИВНАЯ КОМПАНИЯ""",САМОЙЛОВ ВАЛЕРИЙ АЛЕКСАНДРОВИЧ,"236000, Область Калининградская, г. Калининград, Улица А.Невского, 115, 7",Калининградская область,1033902815320,3906111756,47.30
"ООО ""ВТОРАЯ ТОПЛИВНАЯ КОМПАНИЯ""",ЗАРУБИН АЛЕКСАНДР ПЕТРОВИЧ,"125438, г. Москва, Переулок Лихачёвский 2-Й, Дом 1, Строение 11",Москва,1157746838919,7743119295,46.71
"ООО ""ТОПЛИВНАЯ КОМПАНИЯ""ТАНКЕРНЕФТЬ""",ЗАХАРОВА НАТАЛЬЯ АЛЕКСАНДРОВНА,"430027, Республика Мордовия, г. Саранск, Улица Гагарина, 134",Республика Мордовия,1111328000849,1328003903,06.10
"ООО ""ХАЙБУЛЛИНСКАЯ ТОПЛИВНАЯ КОМПАНИЯ""",АЛЬМУХАМЕТОВА ИЛЬГИЗА ШАКИРЬЯНОВНА,"453821, Республика Башкортостан, Район Хайбуллинский, Село Бурибай, Улица Шаймуратова, Дом 6, Корпус А",Республика Башкортостан,1150280071314,0248007548,47.30
"ООО ""АРКТИЧЕСКАЯ ТОПЛИВНАЯ КОМПАНИЯ""",СТАРОСТЕНКОВ МАКСИМ АНАТОЛЬЕВИЧ,"183039, Область Мурманская, г. Мурманск, Улица Академика Книповича, 23, 711",Мурманская область,1065190101020,5190157951,46.4
"ООО ""ПОВОЛЖСКАЯ ТОПЛИВНАЯ КОМПАНИЯ""",,"423582, Республика Татарстан, Район Нижнекамский, г. Нижнекамск, Улица Менделеева, 2 ""А"", 146",Республика Татарстан,1071690067030,1658094176,52.29
"ООО ""УРАЛЬСКИЙ ТОПЛИВНЫЙ СОЮЗ""",ГОРБУНОВА ТАТЬЯНА АЛЕКСАНДРОВНА,"641310, Область Курганская, Район Кетовский, Село Кетово, Улица Космонавтов, Дом 56/2, Офис 2",Курганская область,1064510015052,4510022376,46.71
"ООО ""ОСТРОВСКАЯ ТОПЛИВНАЯ КОМПАНИЯ""",ФЕДОРОВ ДМИТРИЙ АЛЕКСАНДРОВИЧ,"180007, Область Псковская, г. Псков, Набережная Ольгинская, 5а",Псковская область,1116027014267,6027138984,02.10
"ООО ""ПОВОЛЖСКАЯ ТОПЛИВНАЯ КОМПАНИЯ""",МОИСЕЕВА ЕЛЕНА АЛЕКСАНДРОВНА,"404130, Область Волгоградская, г. Волжский, Улица Портовая, 16/1, 55",Волгоградская область,1133435006066,3435308131,46.71
"ООО ""ТОПЛИВНАЯ КОМПАНИЯ ТЕРМИНАЛ""",ЧУПАХИН НИКОЛАЙ НИКОЛАЕВИЧ,"346400, Область Ростовская, г. Новочеркасск, Улица Спортивная, 115, 129",Ростовская область,1116183000911,6150066160,47.3
"ООО ""ЕЙСКАЯ ТОПЛИВНАЯ КОМПАНИЯ""",ИСАЕВ ВЛАДИМИР АРКАДЬЕВИЧ,"353677, Край Краснодарский, Район Ейский, Село Александровка, Улица Советская, 34, 0, 0",Краснодарский край,1042317505450,2331013879,46.71
"ООО ""ЖЕЛЕЗНОГОРСКАЯ ТОПЛИВНАЯ КОМПАНИЯ""",КОНОВАЛОВ ВЯЧЕСЛАВ ВИТАЛЬЕВИЧ,"662973, Край Красноярский, г. Железногорск, Улица Белорусская, 49б, 4",Красноярский край,1092452000805,2452037000,46.71
"ООО ""КОМПАНИЯ ""ТОПЛИВНЫЙ КОНТРОЛЬ""",НИКИФОРОВА ЮЛИЯ АНАТОЛЬЕВНА,"423826, Республика Татарстан, г. Набережные Челны, Улица Аделя Кутуя, 3, 79",Республика Татарстан,1121650000966,1650236333,46.73
"ООО""ТОПЛИВНАЯ АППАРАТУРА-ЦЕНТР""",ПИРОЖКОВ АЛЕКСАНДР ФЕДОРОВИЧ,"150014, Область Ярославская, г. Ярославль, Улица Свободы, 62",Ярославская область,1067604089134,7604050127,0
"ООО ""ЗАКАМЕНСКАЯ ТОПЛИВНАЯ КОМПАНИЯ""",ДОРЖИЕВ БУЛАТ ЦЫРЕНОВИЧ,"671950, Республика Бурятия, г. Закаменск, Улица Ленина, 14, 3",Республика Бурятия,1040300650390,0307031383,51.53
"ООО ""КИРОВСКАЯ ТОПЛИВНАЯ КОМПАНИЯ""",ЮДИН КОНСТАНТИН НИКОЛАЕВИЧ,"610046, Область Кировская, г. Киров, Улица Преображенская, 111, 1, 24",Кировская область,1104345012474,4345281631,46.71
"ООО ""АМУРСКАЯ ТОПЛИВНАЯ КОМПАНИЯ""",ЩАПОВ ИГОРЬ АЛЕКСАНДРОВИЧ,"675000, Область Амурская, г. Благовещенск, Улица Гражданская, Дом 121",Амурская область,1132801004192,2801184900,46.71
"ООО ""ТОПЛИВНО - ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""",НОСОВ ДЕНИС ЮРЬЕВИЧ,"623550, Область Свердловская, Район Пышминский, Рабочий Поселок Пышма, Улица Ленина, 97",Свердловская область,1069613006044,6649004094,47.78
"ООО ""ПОВОЛЖСКАЯ ТОПЛИВНАЯ КОМПАНИЯ""",Самосудов Дмитрий Константинович,"445043, Область Самарская, г. Тольятти, Улица Ларина, Дом 169",Самарская область,1156313075874,6324066764,46.71
"ООО ""ТОПЛИВНАЯ КОМПАНИЯ ""ГАРАНТ""",ЛАВРИНОВ ВИТАЛИЙ ВЯЧЕСЛАВОВИЧ,"694620, Область Сахалинская, Район Холмский, г. Холмск, Улица Победы, Дом 16, Офис 72",Сахалинская область,1156509000340,6509023347,46.71
"ООО ""ОМСКАЯ ТОПЛИВНАЯ КОМПАНИЯ""",ГЛАДКИХ АЛЕНА АНАТОЛЬЕВНА,"646050, Область Омская, Район Марьяновский, Деревня Александровка, Улица Лесная, Дом 44",Омская область,1105543024510,5501227523,46.12
"ООО ""СРЕДНЕВОЛЖСКАЯ ТОПЛИВНАЯ КОМПАНИЯ""",САФОНОВ ОЛЕГ ЮРЬЕВИЧ,"410031, Область Саратовская, г. Саратов, Улица Октябрьская, 44",Саратовская область,1126450014602,6450057760,46.7
"ООО ""ТОПЛИВНАЯ КОМПАНИЯ ""РЕВАНШ""",БРЫЗГАЛОВА ГАЛИНА ИГОРЕВНА,"160000, Область Вологодская, г. Вологда, Улица Окружное Шоссе, Дом 9б, Офис 306",Вологодская область,1163525054483,3525367780,46.71
"ООО ""ТОПЛИВНАЯ КОМПАНИЯ ЭНЕРГИЯ""",БЕССТРАШНОВА МАРИНА ВЛАДИМИРОВНА,"117570, г. Москва, Улица Днепропетровская, Дом 18 Б, Комн. 2.1.5.",Москва,5157746108977,7726362652,46.71
"ООО ""ТОПЛИВНАЯ КОМПАНИЯ ПРОГРЕСС""",ИСАКОВ АЛЕКСЕЙ МИХАЙЛОВИЧ,"105082, г. Москва, Площадь Спартаковская, Дом 14, Строение 3, Комната 10",Москва,1167746299995,9701035738,46.71
ООО «ТОПЛИВНАЯ КОМПАНИЯ «РЕГИОН-С»,АЗАРОВА ЕЛЕНА НИКОЛАЕВНА,"410065, Область Саратовская, г. Саратов, Проспект Им 50 Лет Октября, Дом 93г, Квартира 2",Саратовская область,1176451009910,6453151263,46.71
"ООО ""ЮЖНАЯ ТОПЛИВНАЯ КОМПАНИЯ""",САЛИХОВ МАГОМЕДЗАПИР БАЯЗУТДИНОВИЧ,"367026, Республика Дагестан, г. Махачкала, Проспект Имама Шамиля, Дом 10, Корпус г., Квартира 434",Республика Дагестан,1160572050099,0572012518,46.71
"ООО ""СМОЛЕНСКИЕ ТОПЛИВНЫЕ СИСТЕМЫ""",МИХАЙЛОВ ЕВГЕНИЙ ЕВГЕНЬЕВИЧ,"214014, Область Смоленская, г. Смоленск, Улица Володарского, 3",Смоленская область,1026701432560,6729021708,46.71
"ООО ""НОВОСИБИРСКАЯ ТОПЛИВНАЯ КОМПАНИЯ""",УСОЛЬЦЕВ АНДРЕЙ АЛЕКСЕЕВИЧ,"121099, г. Москва, Улица Новый Арбат, 25",Москва,1075461001505,5432212636,20.59
"ООО ""РЕГИОНАЛЬНАЯ ТОПЛИВНАЯ КОМПАНИЯ""",ПАНФИЛОВА СВЕТЛАНА ЛЬВОВНА,"141207, Область Московская, Район Пушкинский, г. Пушкино, Улица Оранжерейная, 15",Московская область,1075038015161,5038058545,35.2
"ООО ""ОРЕНБУРГСКАЯ ТОПЛИВНАЯ КОМПАНИЯ""",ГАЛЛЯМОВ РУСЛАН РИНАТОВИЧ,"460035, Область Оренбургская, г. Оренбург, Улица Пролетарская, Дом 247/2, Офис 510",Оренбургская область,1165658080708,5611079130,19.20
"ООО ""РЕГИОНАЛЬНЫЙ ТОПЛИВНЫЙ РЕСУРС""",БАДЕНОВ ДМИТРИЙ ЛЬВОВИЧ,"185002, Республика Карелия, г. Петрозаводск, Переулок Черняховского, 45, 5",Республика Карелия,1141001000117,1001279100,46.71
"ООО ""СИБИРСКИЙ ТОПЛИВНЫЙ СОЮЗ""",ГЛУХОВ ЮРИЙ АЛЕКСАНДРОВИЧ,"650036, Область Кемеровская, г. Кемерово, Проспект Ленина, Дом 90/2, Офис 407",Кемеровская область,1134205020520,4205273052,68.32
"ООО ""ТОПЛИВНАЯ КОМПАНИЯ КАСКАД""",ОСТАПЕНКО ЮРИЙ ВЛАДИМИРОВИЧ,"344082, Область Ростовская, г. Ростов-На-Дону, Улица Максима Горького, Дом 58",Ростовская область,1066164201993,6164253724,47.5
"ООО ""КОМПАНИЯ ТОПЛИВНЫЙ РЕГИОН""",ГАПОНЕНКО ВИТАЛИЙ ВАЛЕНТИНОВИЧ,"143442, Область Московская, Район Красногорский, Поселок Отрадное, Шоссе Пятницкое, Км 6, Строение 9 Здание 1, Помещение 42",Московская область,1107746090825,7733725018,46.75
"ООО ""ТОПЛИВНАЯ КОМПАНИЯ СИБИРЬ""",АЛЕКНАЙТЕ ВИЛЬМА РОМОВНА,"650000, Область Кемеровская, г. Кемерово, Проспект Ленина, Дом 55, Офис 001",Кемеровская область,1154205003237,4205304180,46.71
"ООО ""ТОПЛИВНЫЙ РЕСУРС ПЛЮС""",ПАПИКЯН ЭДВАРД АРАМАИСОВИЧ,"396510, Область Воронежская, Район Каменский, Поселок Городского Типа Каменка, Улица Советская, Дом 120, Офис 1",Воронежская область,1153668031472,3611009186,46.71
"ООО ""ТОПЛИВНО-ТРАНСПОРТНАЯ КОМПАНИЯ""",КИЗИМА МАКСИМ АЛЕКСАНДРОВИЧ,"109472, г. Москва, Улица Ташкентская, 24, Стр.1",Москва,1057748730577,7721540904,45.1
"ООО ""ТК ""ТОПЛИВНЫЕ РЕШЕНИЯ""",АЛЕКСАНДРОВ КОНСТАНТИН ЮРЬЕВИЧ,"127055, г. Москва, Улица Новосущёвская, Дом 19б, Эт 5 Пом I Ком 19",Москва,1167746732780,9729019341,46.71
"ООО ""ТОПЛИВНЫЕ СИСТЕМЫ - НН""",МУХИН ДМИТРИЙ ВИКТОРОВИЧ,"603108, Область Нижегородская, г. Нижний Новгород, Улица Ракетная, Дом 9 Ю, Офис 9",Нижегородская область,1155257000470,5257019387,45.31
"ООО ""БАЛТИЙСКАЯ ТОПЛИВНАЯ КОМПАНИЯ""",ДРОБОТУН ГЕННАДИЙ АЛЕКСАНДРОВИЧ,"185031, Республика Карелия, г. Петрозаводск, Набережная Варкауса (Октябрьский Р-Н), 10",Республика Карелия,1091001014500,1001228754,46.71
"ООО ""КОМПАНИЯ ""ТОПЛИВНЫЙ РЕСУРС""",ВАСЕВ АЛЕКСАНДР ВИКТОРОВИЧ,"614022, Край Пермский, г. Пермь, Улица Рязанская, 80",Пермский край,1115905005864,5905287260,46.71
"ООО ""БАЛАКОВСКАЯ ТОПЛИВНАЯ КОМПАНИЯ""",БЕЗДАТКО ВИКТОР ИВАНОВИЧ,"413840, Область Саратовская, г. Балаково, Улица Степная, 10, 45",Саратовская область,1106439001240,6439074296,46.4
"ООО ""УРАЛЬСКИЙ ТОПЛИВНЫЙ СОЮЗ""",ПРОТОПОПОВ АНЛРЕЙ НИКОЛАЕВИЧ,"614013, Край Пермский, г. Пермь, Улица Брикетная, 13",Пермский край,1085903000886,5903085501,43.34
"ООО ""ТОПЛИВНАЯ КОМПАНИЯ-ЭНЕРГИЯ""",САБИРОВ РУСТЕМ РИНАТОВИЧ,"422545, Республика Татарстан, Район Зеленодольский, г. Зеленодольск, Улица Бакы Урманче, 16, 40",Республика Татарстан,1121224000435,1216028748,52.29
"ООО ""СИБИРСКАЯ ТОПЛИВНАЯ ГРУППА""",БРОННИКОВ АЛЕКСАНДР ВИКТОРОВИЧ,"630096, Область Новосибирская, г. Новосибирск, Улица Станционная, Дом 60/1, Офис 317",Новосибирская область,1175476057217,5404059471,46.71
"ООО ""ТОРГОВО-ТОПЛИВНАЯ КОМПАНИЯ""",ЛУКИН ВЛАДИМИР ВАСИЛЬЕВИЧ,"308014, Область Белгородская, г. Белгород, Улица Николая Чумичова, Дом 122",Белгородская область,1163123092208,3123401590,46.71
"ООО ""ТОПЛИВНО-ТРАНСПОРТНАЯ КОМПАНИЯ""",СУРОВЦЕВ СЕРГЕЙ ЛЕОНИДОВИЧ,"650070, Область Кемеровская, г. Кемерово, Проспект Молодежный, Дом 3, Квартира 172",Кемеровская область,1174205025851,4205361340,49.41
"ООО ""ИННОВАЦИОННЫЕ ТОПЛИВНЫЕ ТЕХНОЛОГИИ""",ХАСИЕВ ХАМЗАТ ШИРВАНОВИЧ,"115191, г. Москва, Улица Искры, Дом 31, Корпус 1, Э 5 Пом Ii К Iii Оф 16б",Москва,5177746061884,7716872630,46.71
"ООО ""ЮЖНАЯ ТОПЛИВНАЯ КОМПАНИЯ""",ДОРОШ ДАРЬЯ АЛЕКСАНДРОВНА,"344022, Область Ростовская, г. Ростов-На-Дону, Улица Суворова, Дом 91, Офис 35",Ростовская область,1166196092523,6163149329,46.71
"ООО ""ТОПЛИВНАЯ КОМПАНИЯ ""ЮГ""",АКИШИНА ЕКАТЕРИНА ЕВГЕНЬЕВНА,"117292, г. Москва, Проспект Нахимовский, 52/27, Помещение Б",Москва,1117746604557,7728779392,19.20
"ООО ""РЕГИОНАЛЬНАЯ ТОПЛИВНАЯ КОМПАНИЯ""",КОВАЛЕВА СВЕТЛАНА ВЛАДИМИРОВНА,"410056, Область Саратовская, г. Саратов, Проезд Ильинский, Дом 6, Офис 2",Саратовская область,1176451012836,6454113920,46.71
"ООО ""ВОРКУТИНСКИЙ ТОПЛИВНЫЙ ТЕРМИНАЛ""",КОВАЛЬЧУК ЛАРИСА ВИКТОРОВНА,"169908, Республика Коми, г. Воркута, Переулок Деповской, 5",Республика Коми,1141103001126,1103012786,47.30
"ООО ""ПЕРВАЯ ТОПЛИВНАЯ КОМПАНИЯ""",ШЕВЦОВ КОНСТАНТИН АЛЕКСАНДРОВИЧ,"344010, Область Ростовская, г. Ростов-На-Дону, Улица Города Волос, 6, 5",Ростовская область,1106165006276,6165165076,46.71
"ООО ""ТОПЛИВНАЯ КОМПАНИЯ 888""",АВКСЕНЕНКО ЕВГЕНИЙ ЛЬВОВИЧ,"676014, Область Амурская, Район Сковородинский, г. Сковородино, Улица Красноармейская, 6",Амурская область,1082808001880,2826005430,46.71
"ООО ""ТОПЛИВНЫЕ СИСТЕМЫ КМВ""",ЖУКОВА ГАЛИНА АЛЕКСЕЕВНА,"357600, Край Ставропольский, г. Ессентуки, Улица Вокзальная, 8",Ставропольский край,1082650001367,2618019093,52.10
"ООО ""НАЛЬЧИКСКАЯ ТОПЛИВНАЯ КОМПАНИЯ""",НЫРОВ ЗАУРБЕК ХАМИДБИЕВИЧ,"360000, Республика Кабардино-Балкарская, г. Нальчик, Улица Кешокова, 36, В",Кабардино-Балкарская Республика,1070721003319,0721024738,46.3
"ООО ""ПЕРВАЯ ТОПЛИВНАЯ КОМПАНИЯ""",БЛОХИН ЕВГЕНИЙ СЕРГЕЕВИЧ,"150048, Область Ярославская, г. Ярославль, Проспект Московский, Дом 139, Помещение 1",Ярославская область,1117604012987,7604210236,19.2
"ООО ""ТОПЛИВНАЯ КОМПАНИЯ АГРОХИМПРОМ+""",ГУБИН СЕРГЕЙ ВАЛЕРЬЕВИЧ,"665813, Область Иркутская, г. Ангарск, Квартал 108-Й, Строение 10, Помещение 300",Иркутская область,1113801014436,3801116348,46.71
"ООО ""ЗАВОД ТОПЛИВНОГО ОБОРУДОВАНИЯ""",БУЛДАКОВА ЮЛИЯ ОЛЕГОВНА,"426028, Республика Удмуртская, г. Ижевск, Улица Маяковского, Дом 13, Литер А, Помещение 17",Удмуртская Республика,1161832051314,1832137087,25.29
"ООО ""УГЛИЧСКОЕ ТОПЛИВНОЕ ПРЕДПРИЯТИЕ""",КАРАВАЕВА ИРИНА ЮРЬЕВНА,"152612, Область Ярославская, Район Угличский, г. Углич, Шоссе Ленинское, 20а",Ярославская область,1127612001550,7612044952,46.71
"ООО""ТОПЛИВНО-ЭНЕРГОСЕРВИСНАЯ КОМПАНИЯ""",БЕЗОТЕЧЕСТВО НИКОЛАЙ ЛУКИЧ,"670042, Республика Бурятия, г. Улан-Удэ, Улица Жердева, 58, 24",Республика Бурятия,1050302991750,0326025498,45.11
"ООО ""ОМСКАЯ ТОПЛИВНАЯ КОМПАНИЯ""",БАЙЛАРОВ АЙХАН САБУХИ ОГЛЫ,"644083, Область Омская, г. Омск, Улица Коммунальная, Дом 2, Корпус 1",Омская область,1155543046394,5501157481,46.71
"ООО ""ТОПЛИВНАЯ ЛИНИЯ ПРОЦЕССИНГ""",ОКАТЕНКО ДМИТРИЙ ВАЛЕРЬЕВИЧ,"127051, г. Москва, Площадь Сухаревская М., 6, Стр.1",Москва,1127746642770,7702796058,46.12
"ООО ""ИВАНОВСКИЙ ТОПЛИВНЫЙ СОЮЗ""",НАПАЛКОВ АНДРЕЙ АЛЕКСЕЕВИЧ,"153012, Область Ивановская, г. Иваново, Улица Суворова, 41",Ивановская область,1143702027468,3702744239,46.71
"ООО ""ТОПЛИВНАЯ КОМПАНИЯ РАДУГА""",ПЯТЕРКИН МИХАИЛ НИКОЛАЕВИЧ,"141206, Область Московская, Район Пушкинский, г. Пушкино, Улица Краснофлотская, 5",Московская область,1025401483557,5404178817,0
"ООО ""ТОПЛИВНАЯ ЭКО КОМПАНИЯ""",БАТАРЕВ ВАДИМ НИКОЛАЕВИЧ,"620075, Область Свердловская, г. Екатеринбург, Улица Малышева, Дом 51, Офис 4520",Свердловская область,1176658067310,6685136226,46.71
"ООО ""ТОПЛИВНАЯ КОМПАНИЯ НЕФТЕПРОДУКТ""",ГУСЕВ АНДРЕЙ АЛЕКСАНДРОВИЧ,"123100, г. Москва, Набережная Пресненская, Дом 12, Эт 45 Ком 10 Оф 271",Москва,1187746539584,7703458894,46.71
"ООО ""ЗАВОД ТОПЛИВНОГО ОБОРУДОВАНИЯ""",ДМИТРИЕНКО ВИТАЛИЙ СЕРГЕЕВИЧ,"195112, г. Санкт-Петербург, Проспект Уткин, Дом 15, Строение Е, Офис 207",Санкт-Петербург,1177847060599,7806262276,46.90
"ООО ТОПЛИВНАЯ КОМПАНИЯ ""АЛТАЙНЕФТЬ""",МСТИСЛАВСКАЯ ЕВГЕНИЯ АНАТОЛЬЕВНА,"649002, Республика Алтай, г. Горно-Алтайск, Улица Строителей, Дом 5 / 4, Азс Ттк ""Роснефть""",Республика Алтай,1160400054440,0400002122,46.71
"ООО ""ТОПЛИВНАЯ КОМПАНИЯ ЧИСТОТА""",БИХЕ КОНСТАНТИН КОНСТАНТИНОВИЧ,"115054, г. Москва, Улица Татарская, 7, Стр.1",Москва,1137746410460,7705540022,46.71
"ООО ""ТОПЛИВНАЯ ГРУППА-Н""",КОЛОМАК МИХАИЛ ВЛАДИМИРОВИЧ,"462356, Область Оренбургская, г. Новотроицк, Улица Губина, 1 ""А""",Оренбургская область,1105658023350,5607043396,47.78
"ООО ""БОЛЬШЕРЕЧЕНСКАЯ ТОПЛИВНАЯ КОМПАНИЯ""",ЧЕРВАНЬ АЛЕКСЕЙ МАРКОВИЧ,"646670, Область Омская, Район Большереченский, Рабочий Поселок Большеречье, Улица Транспортная, 4",Омская область,1105510000155,5510009024,47.78
"ООО  ""ТОПЛИВНАЯ КОМПАНИЯ ""ЭНЕРГЕТИК""",АЛИЕВА ЕЛЕНА НИКОЛАЕВНА,"614018, Край Пермский, г. Пермь, Улица Борцов Революции, Дом 8а, Офис 202",Пермский край,1175958028949,5902044358,46.71
